epoch,speed,hdop
1631521578.796,15.17,0.5
1631521578.898,15.11,0.5
1631521579.0,15.01,0.5
1631521579.102,15.07,0.5
1631521579.204,14.94,0.5
1631521579.306,14.94,0.5
1631521579.408,14.89,0.5
1631521579.511,14.83,0.5
1631521579.612,14.81,0.5
1631521579.714,14.79,0.5
1631521579.816,14.86,0.5
1631521579.918,14.88,0.5
1631521580.021,14.94,0.5
1631521580.123,15.11,0.5
1631521580.224,15.15,0.5
1631521580.325,15.24,0.5
1631521580.426,15.32,0.5
1631521580.527,15.42,0.5
1631521580.629,15.4,0.5
1631521580.731,15.31,0.5
1631521580.833,15.32,0.5
1631521580.935,15.27,0.5
1631521581.036,15.23,0.5
1631521581.138,15.2,0.5
1631521581.24,15.08,0.5
1631521581.342,15.0,0.5
1631521581.444,14.99,0.5
1631521581.546,14.85,0.5
1631521581.648,14.83,0.5
1631521581.75,14.71,0.5
1631521581.852,14.66,0.5
1631521581.954,14.52,0.5
1631521582.056,14.43,0.5
1631521582.158,14.31,0.5
1631521582.26,14.13,0.5
1631521582.362,14.08,0.5
1631521582.464,13.95,0.5
1631521582.566,13.83,0.5
1631521582.668,13.67,0.5
1631521582.77,13.38,0.5
1631521582.872,13.26,0.5
1631521582.974,13.15,0.5
1631521583.076,13.1,0.5
1631521583.178,13.14,0.5
1631521583.28,12.93,0.5
1631521583.382,12.85,0.5
1631521583.484,12.6,0.5
1631521583.586,12.44,0.5
1631521583.688,12.25,0.5
1631521583.79,12.21,0.5
1631521583.892,11.95,0.5
1631521583.994,11.79,0.5
1631521584.096,11.95,0.5
1631521584.198,11.89,0.5
1631521584.3,11.74,0.5
1631521584.402,11.58,0.5
1631521584.504,11.45,0.5
1631521584.606,11.26,0.5
1631521584.708,11.11,0.5
1631521584.81,11.0,0.5
1631521584.912,10.85,0.5
1631521585.014,10.67,0.5
1631521585.116,10.54,0.5
1631521585.217,10.39,0.5
1631521585.318,10.3,0.5
1631521585.42,10.18,0.5
1631521585.521,9.7,0.5
1631521585.623,9.79,0.5
1631521585.725,9.54,0.5
1631521585.826,9.25,0.5
1631521585.929,9.14,0.5
1631521586.03,8.85,0.5
1631521586.132,8.49,0.5
1631521586.234,8.37,0.5
1631521586.336,8.05,0.5
1631521586.438,7.43,0.5
1631521586.54,7.45,0.5
1631521586.642,7.32,0.5
1631521586.744,7.13,0.5
1631521586.846,7.05,0.5
1631521586.948,6.63,0.5
1631521587.05,6.46,0.5
1631521587.152,6.15,0.5
1631521587.254,5.86,0.5
1631521587.356,5.76,0.5
1631521587.458,5.53,0.5
1631521587.56,5.43,0.5
1631521587.662,5.21,0.5
1631521587.764,5.05,0.5
1631521587.866,4.94,0.5
1631521587.968,4.7,0.5
1631521588.07,4.66,0.5
1631521588.172,4.46,0.5
1631521588.274,4.27,0.5
1631521588.376,4.08,0.5
1631521588.478,3.99,0.5
1631521588.58,3.91,0.5
1631521588.682,3.74,0.5
1631521588.784,3.55,0.5
1631521588.886,3.4,0.5
1631521588.988,3.18,0.5
1631521589.09,3.08,0.5
1631521589.192,2.84,0.5
1631521589.294,2.76,0.5
1631521589.396,2.56,0.5
1631521589.498,2.4,0.5
1631521589.6,2.2,0.5
1631521589.702,2.12,0.5
1631521589.804,2.06,0.5
1631521589.906,1.82,0.5
1631521590.008,1.77,0.5
1631521590.11,1.65,0.5
1631521590.212,1.47,0.5
1631521590.313,1.29,0.5
1631521590.414,1.22,0.5
1631521590.516,1.07,0.5
1631521590.618,1.1,0.5
1631521590.719,0.9,0.5
1631521590.821,0.73,0.5
1631521590.922,0.69,0.5
1631521591.021,0.59,0.5
1631521591.122,0.52,0.5
1631521591.225,0.47,0.5
1631521591.327,0.38,0.5
1631521591.429,0.34,0.5
1631521591.531,0.27,0.5
1631521591.633,0.24,0.5
1631521591.735,0.21,0.5
1631521591.837,0.13,0.5
1631521591.939,0.08,0.5
1631521592.041,0.1,0.5
1631521592.143,0.09,0.5
1631521592.245,0.09,0.5
1631521592.347,0.06,0.5
1631521592.449,0.02,0.5
1631521592.551,0.05,0.5
1631521592.653,0.01,0.5
1631521592.755,0.01,0.5
1631521592.857,0.05,0.5
1631521592.959,0.02,0.5
1631521593.061,0.03,0.5
1631521593.163,0.03,0.5
1631521593.265,0.06,0.5
1631521593.367,0.03,0.5
1631521593.469,0.03,0.5
1631521593.571,0.01,0.5
1631521593.673,0.01,0.5
1631521593.775,0.03,0.5
1631521593.877,0.01,0.5
1631521593.979,0.02,0.5
1631521594.081,0.06,0.5
1631521594.183,0.03,0.5
1631521594.285,0.0,0.5
1631521594.387,0.03,0.5
1631521594.489,0.04,0.5
1631521594.591,0.02,0.5
1631521594.693,0.04,0.5
1631521594.795,0.04,0.5
1631521594.897,0.05,0.5
1631521594.999,0.02,0.5
1631521595.101,0.02,0.5
1631521595.203,0.01,0.5
1631521595.305,0.01,0.5
1631521595.406,0.01,0.5
1631521595.507,0.01,0.5
1631521595.609,0.02,0.5
1631521595.711,0.02,0.5
1631521595.813,0.08,0.5
1631521595.915,0.02,0.5
1631521596.016,0.21,0.5
1631521596.117,0.25,0.5
1631521596.22,0.32,0.5
1631521596.321,0.39,0.5
1631521596.424,0.47,0.5
1631521596.526,0.63,0.5
1631521596.628,0.82,0.5
1631521596.73,0.96,0.5
1631521596.832,1.12,0.5
1631521596.934,1.41,0.5
1631521597.036,1.66,0.5
1631521597.138,1.79,0.5
1631521597.24,2.09,0.5
1631521597.342,2.27,0.5
1631521597.444,2.5,0.5
1631521597.546,2.56,0.5
1631521597.648,2.97,0.5
1631521597.75,3.13,0.5
1631521597.852,3.3,0.5
1631521597.954,3.61,0.5
1631521598.056,3.69,0.5
1631521598.158,3.94,0.5
1631521598.26,4.09,0.5
1631521598.362,4.22,0.5
1631521598.464,4.5,0.5
1631521598.566,4.51,0.5
1631521598.668,4.6,0.5
1631521598.77,4.7,0.5
1631521598.872,4.8,0.5
1631521598.974,4.86,0.5
1631521599.076,4.95,0.5
1631521599.178,5.07,0.5
1631521599.28,5.27,0.5
1631521599.382,5.35,0.5
1631521599.484,5.49,0.5
1631521599.586,5.63,0.5
1631521599.688,5.7,0.5
1631521599.79,5.76,0.5
1631521599.892,6.06,0.5
1631521599.994,6.05,0.5
1631521600.096,6.16,0.5
1631521600.198,6.32,0.5
1631521600.3,6.25,0.5
1631521600.402,6.19,0.5
1631521600.504,6.18,0.5
1631521600.606,6.22,0.5
1631521600.708,6.31,0.5
1631521600.809,6.29,0.5
1631521600.91,6.25,0.5
1631521601.01,6.25,0.5
1631521601.113,6.28,0.5
1631521601.214,6.36,0.5
1631521601.315,6.36,0.5
1631521601.416,6.41,0.5
1631521601.517,6.67,0.5
1631521601.619,6.81,0.5
1631521601.721,7.12,0.5
1631521601.823,7.31,0.5
1631521601.925,7.36,0.5
